Name,Path,Size,Date Modified,Status,User,Title,Description,Class,Stylesheet,Conditions,Language,Dimensions,Resolution,Searchable
"feature_list.htm","Content\Understanding Spryker\","552 bytes","29-Mar-17 12:31:53","Committed","","","","","","","","","","True"
"flash_messenger.htm","Content\Developing with Spryker\Developer Resources\","2.11 KB","10-Mar-17 11:25:03","Committed","","","","","","","","","","True"
"frontend_translations.htm","Content\Developing with Spryker\Yves\","4.02 KB","29-Mar-17 14:55:26","Committed","","","","","file:///C:/Users/Deborah Bennun/Documents/My Projects/Spryker Documentation/Content/Resources/TableStyles/PatternedRows.css","","","","","True"
"full_text_search.htm","Content\Developing with Spryker\Developer Guidelines\Search Design\","8.72 KB","21-Mar-17 11:13:55","Committed","","","","","","","","","","True"
"generic_faceted_search.htm","Content\Developing with Spryker\Developer Guidelines\Search Design\","8.33 KB","21-Mar-17 11:13:55","Committed","","","","","","","","","","True"
"getting_started.htm","Content\Getting Started\","2.64 KB","29-Mar-17 11:02:48","Committed","","Introduction","","","","","","","","True"
"glossary.htm","Content\Developing with Spryker\Bundle Guide\","270 bytes","10-Mar-17 15:50:28","Committed","","","","","","","","","","True"
"Glossary.htm","Content\Print Only Topics\","455 bytes","08-Dec-16 11:32:42","Committed","","","","","","General.PDF","","","","True"
"home.htm","Content\","12.83 KB","29-Mar-17 14:55:38","Committed","","Welcome to Spryker Academy","","no-js","file:///C:/Users/Deborah Bennun/Documents/My Projects/Spryker Documentation/Content/Resources/Stylesheets/normalize.css;https://fonts.googleapis.com/css?family=Lato:300_400;file:///C:/Users/Deborah Bennun/Documents/My Projects/Spryker Documentation/Content/Resources/Stylesheets/main.css;file:///C:/Users/Deborah Bennun/Documents/My Projects/Spryker Documentation/Content/Resources/Stylesheets/StylesForHomePage.css","","","","","True"
"how_tos.htm","Content\Enablement\HowTos\","268 bytes","29-Mar-17 11:24:53","Committed","","","","","","","","","","True"
"ht_add_new_shipment_method.htm","Content\Enablement\HowTos\","3.48 KB","10-Mar-17 14:23:39","Committed","","","","","","","","","","True"
"ht_add_shipment_method.htm","Content\Enablement\HowTos\","291 bytes","10-Mar-17 20:50:09","Committed","","","","","","","","","","True"
"ht_create_personalized_prices.htm","Content\Enablement\HowTos\","296 bytes","10-Mar-17 20:55:08","Committed","","","","","","","","","","True"
"ht_implement_dd.htm","Content\Enablement\HowTos\How to Implement Direct Debit\","1.73 KB","13-Mar-17 14:18:40","Committed","","","","","","","","","","True"
"ht_implement_invoice_payment.htm","Content\Enablement\HowTos\","295 bytes","10-Mar-17 20:51:38","Committed","","","","","","","","","","True"
"ht_implement_prepayment.htm","Content\Enablement\HowTos\","290 bytes","10-Mar-17 20:52:18","Committed","","","","","","","","","","True"
"ht_product_data_import_frontend.htm","Content\Enablement\HowTos\","312 bytes","10-Mar-17 20:56:22","Committed","","","","","","","","","","True"
"ht_replace_bundle_dependancies.htm","Content\Enablement\HowTos\","305 bytes","10-Mar-17 20:58:01","Committed","","","","","","","","","","True"
"ht_setup_stores_multiple_locals.htm","Content\Enablement\HowTos\","304 bytes","10-Mar-17 20:53:19","Committed","","","","","","","","","","True"
"ht_setup_stores_mutli_store_projects.htm","Content\Enablement\HowTos\","296 bytes","10-Mar-17 20:54:16","Committed","","","","","","","","","","True"
"importer.htm","Content\Developing with Spryker\Bundle Guide\","270 bytes","10-Mar-17 15:50:41","Committed","","","","","","","","","","True"
"Index.htm","Content\Print Only Topics\","426 bytes","08-Dec-16 11:32:42","Committed","","","","","","General.PDF","","","","True"
"Installation Guide.htm","Content\Getting Started\","13.12 KB","29-Mar-17 12:34:05","Committed","","","","","file:///C:/Users/Deborah Bennun/Documents/My Projects/Spryker Documentation/Content/Resources/TableStyles/PatternedRows.css","","","","","True"
"installation_guide_no_vm.htm","Content\Getting Started\","6.86 KB","17-Mar-17 12:55:26","Committed","","","","","","","","","","True"
"installer.htm","Content\Developing with Spryker\Bundle Guide\","271 bytes","10-Mar-17 15:50:58","Committed","","","","","","","","","","True"
"integration_heroku.htm","Content\Developing with Spryker\3rd-Party Integration\","7.43 KB","20-Mar-17 10:15:01","Committed","","","","","","","","","","True"
"integration_monitoring_econda.htm","Content\Developing with Spryker\3rd-Party Integration\","39.84 KB","27-Mar-17 15:07:01","Committed","","","","","file:///C:/Users/Deborah Bennun/Documents/My Projects/Spryker Documentation/Content/Resources/TableStyles/PatternedRows.css","","","","","True"
"integration_payment_braintree.htm","Content\Developing with Spryker\3rd-Party Integration\","20.93 KB","20-Mar-17 10:44:20","Committed","","","","","file:///C:/Users/Deborah Bennun/Documents/My Projects/Spryker Documentation/Content/Resources/TableStyles/PatternedRows.css","","","","","True"
